-2	154.5546717
-1.9	112.9528224
-1.8	77.06060469
-1.7	46.6521794
-1.6	23.53623661
-1.5	3.404051027
-1.4	-12.11850953
-1.3	-23.35495062
-1.2	-30.69879022
-1.1	-34.5931475
-1	-35.48948177
-0.9	-33.89543777
-0.8	-30.34850874
-0.7	-25.41384185
-0.6	-19.65746203
-0.5	-13.7156262
-0.4	-11.73003948
-0.3	-6.873944486
-0.2	-3.134097304
-0.1	-0.794059114
0	-0.01009585
0	-0.01009585
0.1	-0.794278586
0.2	-3.134975193
0.3	-6.875700289
0.4	-11.73289264
0.5	-13.72045464
0.6	-19.67260577
0.7	-25.42964403
0.8	-30.36036037
0.9	-33.90333884
1	-35.49123758
1.1	-34.59073328
1.2	-30.69088911
1.3	-23.34024582
1.4	-12.09502575
1.5	3.428851669
1.6	23.58254576
1.7	46.71670492
1.8	77.14115187
1.9	113.0509275
2	154.6723101
