  Step                  Energy    RxCoord     X1        Y1        Z1
  13                    0.00000   0.00382   1.46315  -0.00000  -0.01233
  14                    0.00000   0.00493   1.46379  -0.00000  -0.01546
  15                   -0.00000   0.00613   1.46453  -0.00000  -0.01858
  16                   -0.00000   0.00742   1.46538   0.00000  -0.02162
  17                   -0.00000   0.00875   1.46645  -0.00000  -0.02436
                          Y10       Z10       X11       Y11       Z11
   1                   -1.42073   0.00000   1.26592   0.69336  -0.00000
   2                   -1.42092  -0.00000   1.26610   0.69274   0.00000
   3                   -1.42085  -0.00000   1.26606   0.69197   0.00000
   4                   -1.42075   0.00000   1.26581   0.69111   0.00000
   5                   -1.42066   0.00000   1.26535   0.69017   0.00000
   6                   -1.42059  -0.00000   1.26469   0.68916  -0.00000
   7                   -1.42054  -0.00000   1.26389   0.68809   0.00000
   8                   -1.42052  -0.00000   1.26301   0.68696   0.00000
   9                   -1.42051   0.00000   1.26206   0.68575   0.00000
  10                   -1.42053  -0.00000   1.26110   0.68458   0.00000
  11                   -1.42054  -0.00000   1.26020   0.68337  -0.00000
  12                   -1.42059  -0.00000   1.25941   0.68216   0.00000
  13                   -1.42066   0.00000   1.25877   0.68099   0.00000
  14                   -1.42075  -0.00000   1.25833   0.67990  -0.00000
  15                   -1.42085  -0.00000   1.25812   0.67895  -0.00000
  16                   -1.42092   0.00000   1.25817   0.67821   0.00000
  17                   -1.42073   0.00000   1.25862   0.67806   0.00000
                          X12       Y12       Z12       X13       Y13
   1                    1.24709  -0.72301  -0.00000  -1.25862   0.67806
   2                    1.24556  -0.72292  -0.00000  -1.25817   0.67821
   3                    1.24406  -0.72283   0.00000  -1.25812   0.67895
   4                    1.24268  -0.72275  -0.00000  -1.25833   0.67990
   5                    1.24143  -0.72266   0.00000  -1.25877   0.68099
   6                    1.24032  -0.72254   0.00000  -1.25940   0.68216
   7                    1.23931  -0.72240   0.00000  -1.26019   0.68336
   8                    1.23839  -0.72227   0.00000  -1.26110   0.68458
   9                    1.23747  -0.72212   0.00000  -1.26206   0.68575
  10                    1.23658  -0.72196   0.00000  -1.26301   0.68696
  11                    1.23559  -0.72180   0.00000  -1.26390   0.68809
