-2	-21265.09648
-1.9	-21411.55033
-1.8	-21550.68144
-1.7	-21681.9091
-1.6	-21803.42462
-1.5	-21919.53671
-1.4	-22028.61952
-1.3	-22129.38344
-1.2	-22223.02855
-1.1	-22309.1914
-1	-22387.5169
-0.9	-22458.51271
-0.8	-22522.7163
-0.7	-22578.27318
-0.6	-22627.36246
-0.5	-22668.20075
-0.4	-22705.7363
-0.3	-22731.52925
-0.2	-22750.37292
-0.1	-22760.93774
0	-22764.18655
0	-22764.18655
0.1	-22760.93796
0.2	-22750.37379
0.3	-22731.53101
0.4	-22705.73916
0.5	-22668.20558
0.6	-22626.57105
0.7	-22578.28898
0.8	-22522.72816
0.9	-22458.52061
1	-22387.51866
1.1	-22309.18898
1.2	-22223.02064
1.3	-22129.36874
1.4	-22027.78948
1.5	-21919.51191
1.6	-21803.37831
1.7	-21681.03802
1.8	-21549.79434
1.9	-21411.45222
2	-21264.17228
