6, 3.65513, -0.76047, -0.00021
6, 2.44832, -1.43416, 0.00009
6, 1.23469, -0.72926, 0.00021
6, 1.26731, 0.71461, 0.00013
6, 2.49666, 1.36988, -0.00027
6, 3.67945, 0.65669, -0.00038
6, 0.00000, -1.41940, 0.00031
6, 0.00000, 1.53373, 0.00059
6, -1.26731, 0.71461, 0.00013
6, -1.23469, -0.72926, 0.00020
6, -2.44832, -1.43416, 0.00008
1, -2.42644, -2.51824, 0.00017
6, -3.65513, -0.76047, -0.00022
6, -3.67945, 0.65669, -0.00039
6, -2.49666, 1.36988, -0.00027
1, 0.00000, -2.50391, 0.00036
1, 4.58777, -1.31218, -0.00035
1, 2.42644, -2.51824, 0.00018
1, 2.51661, 2.45488, -0.00037
1, 4.63079, 1.17584, -0.00059
1, 0.00000, 2.20447, 0.87187
1, -4.58777, -1.31218, -0.00037
1, -4.63079, 1.17584, -0.00059
1, -2.51661, 2.45488, -0.00036
1, 0.00000, 2.20540, -0.86997
